,Label,session,current_drive_mode
1358589,,5399.0,car/driveMode/0.0
1358590,,5399.0,car/driveMode/0.0
1358591,,5399.0,car/driveMode/0.0
1358592,,5399.0,car/driveMode/0.0
1358593,,5399.0,car/driveMode/0.0
1358594,,5399.0,car/driveMode/0.0
1358595,,5399.0,car/driveMode/0.0
1358596,,5399.0,car/driveMode/0.0
1358597,,5399.0,car/driveMode/0.0
1358598,,5399.0,car/driveMode/0.0
1358599,,5399.0,car/driveMode/0.0
1358600,,5399.0,car/driveMode/0.0
1358601,,5399.0,car/driveMode/0.0
1358602,,5399.0,car/driveMode/0.0
1358603,,5399.0,car/driveMode/0.0
1358604,,5399.0,car/driveMode/0.0
1358605,,5399.0,car/driveMode/0.0
1358606,,5399.0,car/driveMode/0.0
1358607,,5399.0,car/driveMode/0.0
1358608,,5399.0,car/driveMode/0.0
1358609,,5399.0,car/driveMode/0.0
1358610,,5399.0,car/driveMode/0.0
1358611,,5399.0,car/driveMode/0.0
1358612,,5399.0,car/driveMode/0.0
1358613,,5399.0,car/driveMode/0.0
1358614,,5399.0,car/driveMode/0.0
1358615,,5399.0,car/driveMode/0.0
1358616,,5399.0,car/driveMode/0.0
1358617,,5399.0,car/driveMode/0.0
1358618,,5399.0,car/driveMode/0.0
1358619,,5399.0,car/driveMode/0.0
1358620,,5399.0,car/driveMode/0.0
1358621,,5399.0,car/driveMode/0.0
1358622,,5399.0,car/driveMode/0.0
1358623,,5399.0,car/driveMode/0.0
1358624,,5399.0,car/driveMode/0.0
1358625,,5399.0,car/driveMode/0.0
1358626,,5399.0,car/driveMode/0.0
1358627,,5399.0,car/driveMode/0.0
1358628,,5399.0,car/driveMode/0.0
1358629,,5399.0,car/driveMode/0.0
1358630,,5399.0,car/driveMode/0.0
1358631,,5399.0,car/driveMode/0.0
1358632,,5399.0,car/driveMode/0.0
1358633,,5399.0,car/driveMode/0.0
1358634,,5399.0,car/driveMode/0.0
1358635,,5399.0,car/driveMode/0.0
1358636,,5399.0,car/driveMode/0.0
1358637,,5399.0,car/driveMode/0.0
1358638,,5399.0,car/driveMode/0.0
1358639,,5399.0,car/driveMode/0.0
1358640,,5399.0,car/driveMode/0.0
1358641,,5399.0,car/driveMode/0.0
1358642,,5399.0,car/driveMode/0.0
1358643,,5399.0,car/driveMode/0.0
1358644,,5399.0,car/driveMode/0.0
1358645,,5399.0,car/driveMode/0.0
1358646,,5399.0,car/driveMode/0.0
1358647,,5399.0,car/driveMode/0.0
1358648,,5399.0,car/driveMode/0.0
1358649,,5399.0,car/driveMode/0.0
1358650,,5399.0,car/driveMode/0.0
1358651,,5399.0,car/driveMode/0.0
1358652,,5399.0,car/driveMode/0.0
1358653,,5399.0,car/driveMode/0.0
1358654,,5399.0,car/driveMode/0.0
